Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,
05-05-23,171.4174652,104.8468628,170.0599976,172.1384078,105.1547369,170.7899933,168.642301,103.3968645,163.5099945,168.8595738,104.1020002,163.9700012,113453200,26639300,107607300
08-05-23,171.3483429,107.0317917,171.7899933,171.6940084,107.2204926,173.8000031,169.9755816,104.4396767,169.1900024,170.3409882,104.4595364,173.7200012,55962800,26511400,112249400
09-05-23,169.639801,106.6146622,169.1499939,171.3878395,109.3954855,169.8200073,169.4719111,106.4557621,166.5599976,170.9039259,107.6475392,168.9499969,45326900,36360100,88965000
10-05-23,171.4075928,110.9845276,168.5399933,171.8717653,112.1663787,174.4299927,169.7681757,107.1906944,166.6799927,170.8742962,107.2304213,172.5500031,53724500,63153400,119840700
11-05-23,171.5952606,115.7715149,172.0800018,172.4248398,117.1122661,173.5700073,170.034853,113.6263145,166.7899933,171.6940265,114.609531,168.6999969,49514700,78900000,103889900
12-05-23,170.6656189,116.7050858,167.9799957,172.1391664,117.2215205,177.3800049,169.1129373,115.3146739,167.2299957,171.7040196,115.8807692,176.0700073,45533100,41102300,157849600
15-05-23,170.1711578,115.7119293,166.3500061,171.298577,117.6684364,169.7599945,169.577773,115.2153542,164.5500031,171.2491257,115.3146677,167.6600037,37266700,36266800,105592500
16-05-23,170.1711578,118.6913681,166.5200043,171.2293422,119.9228721,169.5200043,169.9041332,115.632464,164.3500061,170.0920389,115.6920506,165.6499939,42110300,45035600,98288800
17-05-23,170.7843018,120.0122681,173.8600006,171.0216436,120.8365846,174.5,168.5393479,118.0756282,167.1900024,169.8151207,118.7906975,168.4100037,57951600,33323600,125473600
18-05-23,173.1182709,121.9886322,176.8899994,173.3061766,122.46534,177.0599976,170.6755269,120.0023319,172.4499969,171.0908903,120.1215051,174.2200012,65496700,35234200,109520300
19-05-23,173.2270508,121.9191132,180.1399994,174.4434731,125.1071242,181.9499969,173.0094774,121.313291,176.3099976,174.4434731,122.7037027,177.1699982,55809500,41353400,136196700
22-05-23,172.2776184,124.1934357,188.8699951,172.782,125.5639802,189.3200073,171.535895,121.8992536,180.1100006,172.060045,122.0978881,180.6999969,43570900,35253000,132001400
23-05-23,169.6667633,121.7204819,185.7700043,171.4666861,123.7763024,192.9600067,169.3898544,121.3728808,185.2599945,171.219445,123.3095282,186.1999969,50747300,34046300,156952100
24-05-23,169.9436951,120.0718536,182.8999939,170.5172964,121.0749374,184.2200012,168.6382695,119.0389766,178.2200012,169.2019715,120.2903479,182.2299957,45143500,34182600,137605100
25-05-23,171.0809631,122.6341782,184.4700012,171.9809093,124.4615707,186.7799988,169.7953064,121.1245858,180.5800018,170.507362,123.6670476,186.5399933,56058300,42317000,96870700
26-05-23,173.4940491,123.7564392,193.1699982,173.8303085,124.4019883,198.6000061,171.1996591,121.6112313,184.5299988,171.4073483,122.3263006,184.6199951,54835000,35635900,162061500
30-05-23,175.3434296,122.8228836,201.1600037,177.0147822,124.799258,204.4799957,174.6214896,121.1643246,197.5299988,175.0071852,124.7793907,200.1000061,55964400,35076700,128818700
31-05-23,175.2939911,122.0283585,203.9299927,177.370823,123.210202,203.9499969,174.809393,121.6608902,195.1199951,175.3731101,121.9091777,199.7799988,99625300,37325800,150711700
01-06-23,178.1026459,122.8725281,207.5200043,178.1323136,123.5677301,209.8000031,174.9775139,121.7800645,199.3699951,175.7390209,121.9786915,202.5899963,68901800,30772700,148029900
02-06-23,178.953125,123.8160248,213.9700012,179.7739674,125.2858903,217.25,177.2817726,122.9122621,209.75,179.032244,123.1406824,210.1499939,61996900,26980100,164398400
05-06-23,177.5982666,125.1468582,217.6100006,182.9090017,126.5571297,221.2899933,176.0752527,122.9917165,214.5200043,180.6146117,123.1605578,217.8000031,121946500,32305500,151143100
06-06-23,177.2323456,126.4379501,221.3099976,178.1322919,127.4112331,221.9100037,175.4719748,124.5013103,212.5299988,177.9839532,125.1468594,216.1399994,64848400,26638300,146911600
07-06-23,175.8576965,121.6608887,224.5700073,179.210286,128.1560837,230.8300018,175.3632142,121.2834944,223.1999969,176.4708498,126.1002709,228,61944600,52539000,185710800
08-06-23,178.5773315,121.3033524,234.8600006,178.8443411,122.3858899,235.2299957,175.5016513,120.4095158,223.0099945,175.936783,121.3927398,224.2200012,50214900,29389200,164489700
09-06-23,178.9630585,121.392746,244.3999939,180.2190328,122.9122645,252.4199982,178.6366983,121.0749382,242.0200043,179.4970928,121.4126056,249.0700073,48900000,23778300,200242400
12-06-23,181.761795,122.7930832,249.8300018,181.8606975,123.2002784,250.9700012,178.9729228,120.8266501,244.5899963,179.2696151,121.9489071,247.9400024,54274900,28306400,150337900
13-06-23,181.2870941,122.981781,258.7099915,182.1178207,124.3026725,259.6799927,180.4266998,122.3362319,251.3399963,180.7827276,124.1239052,253.5099945,54929100,22278300,162384300
14-06-23,181.9200439,122.8228836,256.7900085,182.3551908,123.2002855,261.5700073,180.0113494,120.6180889,250.5,181.3464426,122.2567883,260.1700134,57462900,30592300,170575500
15-06-23,183.9572906,124.2331543,255.8999939,184.4616722,124.6006226,258.9500122,181.7519039,121.5615854,247.2899933,181.9299254,122.2965144,248.3999939,65433200,35246300,160171200
16-06-23,182.8793335,122.6838379,260.5400085,184.9264975,125.2461671,263.6000061,182.2365125,122.4355504,257.2099915,184.669357,125.0673998,258.9200134,101256200,45535600,167915600
20-06-23,182.9683228,122.2567825,274.4500122,184.0463056,123.7167145,274.75,182.3749531,121.3033593,261.1199951,182.3749531,122.0879488,261.5,49799100,26097500,165611200
21-06-23,181.9299164,119.7242584,259.4599915,183.3639119,121.8198059,276.9899902,180.5750248,119.2773363,257.7799988,182.8595303,121.5615848,275.1300049,49515700,30306300,211797100
22-06-23,184.9363708,122.3064423,264.6099854,184.9858221,122.3958221,265,181.6431171,118.0160339,248.25,181.7123518,119.1780178,250.7700043,51245300,26952200,166875900
23-06-23,184.6198883,121.5019836,256.6000061,185.4901819,121.9489057,262.4500122,182.9683194,120.2307527,252.8000031,183.5023687,120.5485604,259.2900085,53117000,34913600,177460800
26-06-23,183.2254639,117.5293808,241.0500031,185.9747841,121.1643139,258.3699951,183.1858968,117.4598606,240.6999969,184.7682461,119.9328098,250.0700073,48088700,33969900,179990600
27-06-23,185.9846802,117.519455,250.2100067,186.3110403,118.2643175,250.3899994,183.6210554,115.3047269,240.8500061,183.8386288,116.2780173,243.2400055,50730800,39535900,164968200
28-06-23,187.1615448,119.356781,256.2399902,187.8043657,119.5653416,259.8800049,185.5297593,116.0495893,248.8899994,185.8561043,116.2879432,249.6999969,51216800,27091400,159770800
29-06-23,187.4978027,118.2841721,257.5,187.9725166,119.2375952,260.7399902,186.8549818,117.4896565,253.6100006,186.9934362,118.4232125,258.0299988,46347300,24090900,131283400
30-06-23,191.829483,118.8800659,261.769989,192.3338496,120.2506179,264.4500122,189.1493821,118.8701399,259.8900146,189.5153093,119.3468477,260.6000061,85213200,29532200,112620800
03-07-23,190.3361359,119.0787048,279.8200073,191.7404638,119.3667193,284.25,189.6438486,118.0061009,275.1099854,191.6415613,118.4232221,276.4899902,31458200,14467900,119685900
05-07-23,189.2185974,120.9160309,282.480011,190.850383,121.7701406,283.8500061,188.5164259,118.4132958,277.6000061,189.4559543,118.4232219,278.8200073,46920300,27584800,131530900
06-07-23,189.6932983,119.287262,276.5400085,189.9009875,119.4759629,279.9700012,187.1121001,117.5889762,272.8800049,187.7450369,118.9793878,278.0899963,45094300,24745200,120332100
07-07-23,188.5757751,118.6615829,274.4299927,190.5438203,120.2208284,280.7799988,188.1406434,118.5821291,273.769989,189.2977302,119.2773312,278.4299927,46815000,21709500,113879200
10-07-23,186.5286102,115.6523285,269.6099854,187.8933862,117.4995883,277.519989,184.9759286,115.3444544,265.1000061,187.1714312,117.4896623,276.4700012,59922200,35315200,119425400
11-07-23,186.0044556,116.3376007,269.7900085,187.2109935,116.903696,270.8999939,184.5407922,114.5598611,266.3699951,187.0725391,115.4934246,268.6499939,46638100,23078800,91972400
12-07-23,187.6758118,118.1153564,271.9899902,189.5845062,119.5057683,276.519989,186.3901548,117.5989217,271.4599915,187.5867935,117.9862496,276.3299866,60750200,30404400,95672100
13-07-23,188.4373016,123.6869125,277.8999939,189.0801377,123.974927,279.4500122,187.685694,119.6249247,270.6000061,188.3977497,120.1016401,274.5899963,41342300,44297900,112681500
14-07-23,188.5856628,124.5608902,281.3800049,189.0702458,125.911575,285.2999878,187.5373628,122.6441101,276.3099976,188.1307325,123.945142,277.0100098,41616200,33283100,120062400
17-07-23,191.8492432,123.7961578,290.3800049,192.1756033,126.2293725,292.230011,189.6932925,123.3492358,283.5700073,189.7822957,125.0773223,286.6300049,50520200,25716200,131569600
18-07-23,191.5921173,122.912262,293.3399963,192.1855021,123.8259583,295.2600098,190.296576,122.1177388,286.0100098,191.216321,123.7465044,290.1499939,48288200,26193600,112120300
19-07-23,192.946991,121.1941147,291.2600098,196.0424398,124.3225393,299.2900085,190.5240157,120.9656944,289.519989,190.9690619,123.7465103,296.0400085,80507300,37224000,142355400
20-07-23,190.9987335,118.3834991,262.8999939,194.3018716,123.2400029,280.9299927,190.375681,117.4102162,261.2000122,192.9370956,120.5882938,279.5599976,59581200,37906800,175158300
21-07-23,189.8218689,119.197876,260.019989,192.8184304,120.1612328,268,189.1196974,117.916719,255.8000031,191.9580361,119.7937721,268,71951700,72937900,161796100
24-07-23,190.6229248,120.6975403,269.0599976,192.7590919,122.1574723,269.8500061,190.1284425,120.1513122,254.1199951,191.2756451,120.8266547,255.8500061,45377800,29686100,136508500
25-07-23,191.4833374,121.372879,265.2799988,192.2942957,122.3064426,272.8999939,190.7910651,120.1910279,265,191.1965443,120.5287029,272.3800049,37283200,52509600,112757300
26-07-23,192.3536377,128.3845215,264.3500061,193.4810569,130.0827997,268.0400085,191.1866666,127.4410319,261.75,191.5327952,129.1790446,263.25,47471900,61682100,95856200
27-07-23,191.0877228,128.5136108,255.7100067,195.0237973,132.3273186,269.1300049,190.4251184,127.9077887,255.3000031,193.8568264,130.7680657,268.3099976,47460200,44952100,103697300
28-07-23,193.6689301,131.6718597,266.4400024,194.4601047,132.8239176,267.25,191.9975775,129.6756332,258.230011,192.5217276,129.8841863,259.8599854,48291400,36591200,111446000
31-07-23,194.2820892,131.8108826,267.4299927,194.3216563,132.6153317,269.0799866,193.105219,130.877319,263.7799988,193.8963936,131.8208086,267.480011,38824100,28055500,84582200
01-08-23,193.4513702,130.6488953,261.0700073,194.5590058,131.7214992,266.4700012,193.1250101,129.7848444,260.25,194.0744228,129.8841655,266.2600098,35175100,23166800,83166000
02-08-23,190.4548035,127.500618,254.1100006,193.0261024,129.1988962,259.519989,189.7328635,126.6862276,250.4900055,192.8876479,128.5632807,255.5700073,50389300,26273300,101752900
03-08-23,189.0603638,127.5701447,259.3200073,190.2471183,128.5037083,260.4899902,188.585665,126.5472011,252,189.4559587,127.0934368,252.0399933,61235200,20089500,97569100
04-08-23,179.9816589,127.23246,253.8600006,185.3121771,130.6091643,264.769989,179.9124242,127.033833,253.1100006,183.4727025,128.3944438,260.9700012,115956800,26147200,99539900
07-08-23,176.8763123,130.6290436,251.4499969,181.1090792,130.7084974,253.6499939,175.3928655,128.1362421,242.7599945,180.1201147,128.2752825,251.4499969,97576100,22746300,111097900
08-08-23,177.8158112,130.4999237,249.6999969,178.2806257,130.6091708,250.9199982,175.6203089,128.6526638,245.0099945,177.7070245,129.7252678,247.4499969,67823000,23535200,96642200
09-08-23,176.2236176,128.7718506,242.1900024,178.9333711,131.1355376,251.1000061,175.0566314,128.1163679,241.8999939,178.8740356,130.7581509,250.8699951,60378500,24912900,101596300
